nama,ulasan
Mas Sholaah,Keren banget... Rame dengan aneka macem kuliner... Bisa main dg merpati dan nyewa skuter....
Elin shelinda muhziraf,"Banyak tempat makan, ada tempat parkir, bagus untuk hangout bareng keluarga dan teman-teman. Dekat stasiun juga"
Joko Purnomo,Tempatnya luas ada playground nya jd bisa untuk anak” main dan gratis
Diana Maulida Zakiah,Karen Kurangnya persediaan tempat sampah shg mengakibatkan banyak sampah berserakan di tengah lapangan alun2
isni siswanti,Lebaran kmrn sangat ramai...pemudik rindu alun2 Jombang. Tempat parkir perlu perluasan
bayu umam,"Bagus , RTH, Kawasan ramah anak"
razandra ukadhika,"Alun² Jbg wajah baru yg bagian selatan, arena Playground bsa utk menyenangkan buah hati saat nanti sdh diresmikan"
Jajang Juana,"Suatu taman santai untuk anak anak ...
Satu satunya di tengah kota jombang yg strategis juga yaman....bersih juga tertata rapi"
suepi jasfamily,"Aslinya ramai pusat kota tapi sayang kurang terawat, kurang ketersediaan tempat sampah...  alun"" di tengah banyak sisa sampah makanan...."
Umar Aminuddin,Dulu bayak kuliner serba ada deh.. eh sekarang udh di pindah.. semoga lekaas pembangunan kulinernya aktif lagi tuh
M. warasudin,"Hanya tempat bermain anak2, tapi sayang untuk kuliner sekarang sdh tidak ada.."
Ratna Dewi,Menyenangkan buat anak² karena area bermainnya cukup luas
Mulyati Zakariya,Alun alun yg dikemas dengan sangat apik menjadi tempat hiburan dan bersantai bagi warganya juga aneka jajanan kekinian
khoirul anwar,"letaknya strategis, dekat dengan stasiun, tepat disamping jalan nasional dan juga kawasan sekolah. tanaman dan pepohonan lumayan banyak"
bapake ajib,Ramah anak
Agoeng Swasono,Bagus. Banyak orang jualan kuliner dgn harga sangat murah.
Nurul Huda,"Enak buat istirahat waktu perjalanan jauh, tapi sekarang masih tahap renofasi, semoga segera selesai dan hasilnya memuaskan"
SHOLIHIN NUR,Semoga kebersihan tempat selalu terjaga
Choirul Umam .,"Bisa ut olahraga, keluarga, hiburan anak anak dll"
Mohammad Hufaif Ibri Al Fahhiz,Bersama mas nurdiansyah pemain asli jombang yang bermain untuk Arema FC
Novan Rizaldy,"Asri, sejuk, menenangkan. Hanya saja terkadang sampah berserakan karena kurangnya kesadaran masyarakat, termasuk saya sendiri."
Paul Kurniandi (MasPK),"Lokasinya bagus, cocok untuk kumpul² / berwisata. Tamannya rindang dan asri"
Diah Muzahidin,"Tempat byk kenangan, skg mnjadi sangat sangat bagus, pas dgn kita yg msh punya anak kecilll"
Naya Wongso,Sejuk nyaman suasana..pingin joget ok..anak anak suka renang dan ceria ..ngikut joget sm penari ok..
AHMAD MUSLIH SANI,"Tempat yang nyaman buat santai, dan berkumpul dengan keluarga, kerabat atau teman."
Amelia Arahma,"Alun2 nyaman, Playground seperti diluar negeri, bersih sekali"
Budi Hartoyo,Selesai upacara hari pahlawan dengan mengheningkan cipta khidmad disaksikan masyarakat yg sedang liburan diluar lapangan upacara
Alan Anggara,"Tempat nya lumayan bagus ketika hari minggu (CFD), sayang oknum jukir nya narik retribusi parkirnya agak berlebihan."
akhmad subhkan,"Bagus ada playgroundnya. Tp sayang, knp pintu pagar tidk d buka"
Mas Kuri (Awen),"Sekarang Alon Alon Jombang sudah sangat memuaskan hati serta luar biasa hebatnya, selalu ramai sekali siang'atau malam hari."
Endik Wir,"Bagus, lebih ramah anak
Hanya ongkos parkirnya yang bermasalah"
Ockie Pasyo,"Ramai, aman dan menyenangkan. Banyak jualan makanan dan minuman. Cocok utk tempat refreshing low-budget."
Zainul Khofid,"Warung makan barokah menyediakan makanan soto, ayah bakar, nasi pey"
heru purwantoro,Lumayan buat pelepas rasa lelah dgn pepohonan yg rindang cocok buat nyantai n ngobrol2....
Aan Leonarta,Banyak tempat bermain untuk anak-anak
House of Rangga,"Tpat yg sangat recomended, arena bermain, nongkrong, makan, jalan2 bersama teman dan keluarga"
Didik Prasetyo,Saya pernah mampir kesana ketika saya istirahat perjalanan dari malang menuju caruban. Tempatnya ramai & bagus.
Devi Kartika,Taman bermain yang cocok untuk main si aak dan bisa untuk tempat bersantai
Herry S,"Bersih.
Cuma sayang pengunjung byk yg abaikan prokes. Byk yg tdk pakai masker."
Aris Sandhi Sucahyono,"Makin tertata dan ramah anak, jika penerangan merata ke seluruh area alun2 malah mantab"
Taslam LegendHary,"Sebuah pusat yang penuh dengan nuansa islamiah ... .. sebagai kota proklamator Ahlu Sunnah wal jama'ah yang masih membudaya....
Dedikasi tinggi dengan lingkungan sederhananya"
a MEER,"Terdapat tempat bermain di sana, sehingga mbuat anak-anak bisa merasa nyaman"
NOVIA ALDONNA FIRDAYANTI,"Tempat wisata yang banyak juga ditemukan penjual jajanan atau makanan ringan lainya ,tempat yang tepat untuk bersantai bersama keluarga"
zulkifli anis,Sekarang sudah sangat nyaman buat anak2 orang dewasa maupun manula
Yudhi Wonk Jombang,"Lbh asri yg sekarang.....Cuma diusahakan masyarakat yg berkunjung,bs menjaga kebersihan"
Hikam Aly,"Cocok buat jogging kalau pagi hari, lebih nyaman selain di hari libur."
Idhofi Sinar,Alun alun jonbang tempat bermain anak2 dan dewasa
Harsono Budi Prasetyo,Selalu ramai dan banyak orang jualan. Cocok buat jalan2 sama keluarga
Kinanti Cindya,Pelayanan yang memuaskan tempat bagus nyaman dan bersih pegawainya juga ramah ☺
Es Teh solo Gubernur suryo,Nyaman utk bermain anak
Fauzy Andini,"Banyak permainan, banyak aneka makanan, jajanan, minuman dan tempatnya pas buat kluarga n anak2..."
Prasetyo Aji,Bagus dam bersih.... Perlu penambahan tempat sampah
Agus Hermawan,Sangat cocok buat keluarga karena ada playground buat bermain si kecil
Denti Mustikasari Ade Pamungkas,"Tempatnya asyik buat kuliner, olah raga, duduk santuy dan dengerin ngaji"
nawi imoet - Channel,Tempat hiburan warga jombang sekitarnya. murah meriah .sore smp malam banyak penjual makanan.cocok unt yg cari makan malam hari
Andy Gingsull,"Lokasi yang nyaman, bersih juga menarik. Lokasinya juga dekat stasiun kereta. Masjid juga deket. Strategis-lah pokoknya👍🏼 …"
Kholik Ega,Tempat yg asyik buat am keluarga..malam minggu..waktu yg tepat...ramai ...murah meriah...
Muji Ono,Area yg nyaman utk olahraga dan bersantai dihari minggu bersama keluarga tapi sayang msh direnovasi
Wibisono family.,"Sejuta kenangan masa muda sekolah SMAN 1 Jombang, dan Paskibraka Kabupaten 2002. Alun2 jombang jadi saksi perjalanan mencapai cita2."
endang suprihariyanti,"Tempat singgah yg nyaman,  strategis dan komplit. Mesjid, alun2, stasiun kereta..kerenn abis"
Itha Rachmawati,"Tempat tujuan sebagian besar masyarakat jombang. Mungkin ke depannya bisa ditambah fasilitas2 lain sprti spot mainan anak2, air mancur, lampion, dll"
OM BROW,"ResArea bagus bwt kluarga... Cocok buat refresing tipis"" ...
Pagi atw sore hari yg lbh bagusnya bwt kluarga.. 👍👍👍 …"
Kang Irulku,Bagus nyaman
The Darwins,"Alun2nya Dekat masjid jami, dekat sekolahan dekat stasiun kereta ,. Hari minggu rame Carefree banyak jajanan..bersih tempatnya.. good.."
Julius Farid,Alun alun kota kelahiran penuh kenangan tp yo ngunu tetap dari TK smp Usia stg abad - ayo disipline covid 19 di masa New Normal
man Tattooart,Merasakan suasana alun2 lebih adem
Mochamad Solly,"Ruang bermain anak² yg bagus sekali apalagi gratis tis tis lho, rugi klo ke jombang gak mampir alon² jombang"
KHAI,Semarak.
cusnen ae,cocok untuk bergembira bersama anak2
Angga Febriyanto Putro,"Alun Alun Kabupaten Jombang berada di desa Kaliwungu, Kecamatan Jombang, Kabupaten Jombang. Tempat ini berada di tengah pusat kota Jombang.
Disini banyak sekali penjual dan ramai pengunjung. …"
Mayesa Studio,"Sekarang makin keren. Bersih, ada playgroundnya.. cakep dah."
Reza Ramadhan,"Ada playground buat anak-anak, nilai plus, penataannya sekarang juga udsh bagus"
Ajik Bagus,"jaman sma dulu cuma kayak lapangan rumput, sekarang dah dilengkapi fasilitas2 penunjang"
MUHAMMAD ANAS FAISOL,sangat menarik untuk keluarga jalan2 khususnya untuk yang punya anak kecil..
Cak Slamet,"Tempat luas dan pinggir""nya banyak pohon sehingga teduh enak buat nyantai sama keluarga"
Azim Abdulloh,"Cukup menarik, permainannya harus di dampingi orang tua, agak ekstrim"
el muhim,Dengan memakai perangkat google Maps semua mudah dan bisa di akses untuk navigasi
ANIS NOR HAYATI,"Tempat nyaman untuk bersantai, sementara masih tutup karena direnovasi, semoga semakin menarik"
antok ari,Bertambah bagus cuma parkirnya aja terlalu tinggi saat Sabtu atau pas ada acara di alun2
fep tyas wiyatno,Tempat nya bagus
As'ad Syaifullah,Sama seperti alun2 kota lainya sejuk santai ada area untuk refleksi kaki dan ada masjid besar
VELIC,"Buat santai, olahraga dan makan cukup recommended"
Abdul Ghoffar,"Uda bagus, hanya perlu di perhatikan masalah kebersihannya dan kesadaraan bersama dalam menjaganya"
Ali Tin birdfarm,"Ramai,bersih,nyaman"
AGUS sumarsono,"Nyaman untuk bersantai , duduk lesehan di tikar sambil menikmati pilihan makan yang bermacam tersedia"
Sylvi Khakim,"Skr mjd bersih, & bagus.... cocok bwt foto² & bersantai bersama klrga😊 …"
RajaKoplak _,"sudah banyak kemajuan & perbaikan
dibanding beberapa tahun lalu bahkan sebelum pandemi"
Vina Diyah,"Sekrang sudah Bagus, dan menarik.  Tapi masya allah kl siang panasnya luar biasa 😂 …"
Amala Nisya,"Tempatnya bagus,tp ga nyaman sm burung yang tiba tiba pup diatas pohon hhhhhh"
Muhammad Habiburrohman,"Tempat bagus, tersedia juga play ground, jadi recomended juga buat keluarga"
gus mudjib mustain,"Ada masjid, pendopo kabupaten, stasiun dan makanan murah malam minggu ramai"
Awan 6665,Cukup nyaman setelah renovasi.... Tempat sampah tolong disediakan agak berdekatan
Samo Hong,"Sangat bagus dan bisa buat bermain anak2,,"
safiil umma,"Suasana malamnya bagus, banyak tempat buat piknik, tapi kang parkirnya buanyak hahaha 😂 …"
Muhammad Novizulsyah,"Alun-alun sering dijadikan tempat sholat Ied. Dan juga sering menjadi ajang tempat berdagang, berolahraga, dan event-event besar lainnya, spt muktamar NU."
Badar Tsani,"Tempat bagus buat rekreasi/bersantai, banyak yang jualan makanan, ada wahana bermain buat anak-anak."
dean cruiser,"Tempat untuk jalan-jalan bareng keluarga,sekarang udah ada area bermain anak2"
Sudarmiati Sudarmiati,"Seneng deket alun2 ada pendopo, stasiun KA, BANYAK KULINERNYA"
Ganda Samudra,Gak ada yg bikin greget. Biasa saja. Malah terkesan GARING. Baru kelihatan HIDUP jika mulai jam 17.00
machimo sisna,Tempatnya nyaman dan asri
muhammad yunus,"Sama seperti dulu belum ada perubahan yg nampak, jka sore suasananya bagus untuk nongkrong."
Tri Prasetyo Suroso,"Kalo pagi cocok buat ngemong anak bayi, banyak burung merpati, anak saya suka ngeliatin"
Om Teguh Rusmianto,Ramai saat Minggu pagi hari
Malik Sabilah,"Mesjid luas bersih, kamar mandi banyak bersih air nya melimpah"
Reni Septiana,Banyak effort permainan yang menarik
azharotul amaliyah,Tempatnya cukup bersih dan nyaman jika untuk jalan-jalan santai sekitar alun-alun
choirul anam,"Menyenangkan, tanpa ada pengamen, penjual kaki lima, bersih, gak bau, gak ada kucing, tikus, full oksigen"
scorpio 1892,Bagus dan bersih
Ulfah Ulfah,Tempat lama suasana baru
Rudy Bakhtiar,Lebih banyak berfungsi sebagai wisata rakyat.
Ahmad Bisri Mustofa,nyaman utk bersantai...
deco riza,"Tempatnya sudah mulai diperbarui, ada tempat bermain untuk sikecil"
Nanga Wahyudi,Sudah berbenah
Rahma Ad-dina,"Selalu nyaman di sini, karena dalam apapun tetap diingatkan dengan panggilan Tuhan.
Iyaa adzan, muadzinnya luar biasa. Masya Allah, suaranya lembut."
yoppie artha,"Kurang bersih, pedagang buang sampah bekas mainan sembarangan berserakan"
Adelia DC,Asik buat santai sama temen dan keluarga
KEIROXX,"Sangat tidak nyaman disini
Penjual makanan nya tidak memberikan pelayanan yang profesional"
AK. MISBAH,Kawasan Parkir Mahal & Pengamen
Chozie Projek,"Sarana liburan keluarga, tempat hilling dan bermain anak, dekat dengan masjid, kantor bupati, dan suling legend"
Ilham Akbar,Mohon untuk pengunjung memperhatikan sampahnya masing. Agar tetap menjaga kebersihan lingkungan alun alun kota Jombang
Khoiri Mabruri,Bagus rapi  sayang masih ada pengamen yg keliling. Mending di buat kan tempatnya agar lebih rapi lagi
Lidya Puspitasari,Tempat nya sejuk tapi sayang sekali disana penjaga an kurang jadi banyak pengemis...
Arum,Parkirnya tolong jangan dimahalin pas weekend + pengemisnya tolong di kondisikan biar bisa ngobrol santai.
Raif Mudzaki,bisa ga didepan pendopo di buat area khusus pedagang kaki lima? saya kira lebih manfaat
Erieza Yuliana Y,"Alun-alunnya jd bagus, cocok buat ngemong anak kecil karena adawahana bermain anak"
Diki Street,"Sangat mengasikkan untuk wisata malam, berbagai kuliner serta lainya tersedia dengan harga terjangkau"
Vivien Uning,"Tempat nya rindang,banyak yg jual makanan jd bisa untuk istirahat"
Ivone Rahmawati,"Alun alun tengah kota jombang ,ada masjid jamik, sholat skalian istirahat siang² panas² di kota jombang kota santri, sambil icip² street food"
Ratno Soegiarto,"Klu sore bisa unt wisata keluarga,,, mainan unt anak anak tersedia,,,"
Capik Udin,"Banyak orang duduk² di rumput,jogging kurang leluasa karena banyak orang jalan memenuhi jalan"
eka yawendra parama,ada tempat bermain anak yg luas dan representatif dengan rumput sintetik
Aliyudin Imam,Indah sekali masjid nya
Nada Heppy,"good place for relax, halaman luas, rumput hijau bisa dibuat lesehan tanpa karpet"
rhie rhie,Banyak sekali aneka camilan dan makanan walau agak tidak beraturan atau tertib. Karena motor masih bisa lewat
indra kusdianta,"murah meriah bersama keluarga, yang penting kebersamaan penuh makna dan keceriaan, nikmati hiburan yang gak kalah kekinian  :) :) :)"
Yanto Klowor,"Alun alun jombang sekarang tempatnya nyaman,bersih enak bwt nyantai sama keluarga.... Bisa puas maen d lapangan .. pokonya siip deh...."
Bogg 1933,👍 …
Yudo Wicaksono,"Di depan Alun alun kota Jombang, ada masjid Agung, bagus dan besar.."
rizqiya.elf05,"Bagus sih tempatnya, cuma minusnya jrang ada yg jual jajanan☺"
Mr.Tj Alkatiri,"Paling senang berkeliling di sekitar Alun alun kota Jombang , sambil mengenang masa kecil he he he . . tempo doeloe sambil dengat suara Kereta Api lewat. . . oohh. . terkenang. .   kenangan lama. . dan dapat bersilaturrahim / berkenalan …"
ARNOLDUS VASI,"Tempatnya bersih,banyak pedagang tinggal pilih. Ada toilet sama wc. Deket dengan masjid jami'"
Mahbub Habibi,Tempat yg sangat nyaman untuk bersama keluarga apalagi anak saya senang sekali bermain di alun2 Jombang.
ayok abadianto,Tempatnya nyaman n damai . Kalo ber kunjung kesana pake kendaraan umum ato online. Tukang2 bentor aja yang resek. Suka maksa2. Nawarin nya
Lina Hariati,Tempat nya bersih berhadapan dengan masjid agung Jombang JD bisa beribadah seusai bersantai di alun-alun
Tasya Windiatan,"Puas Banget, harapannya semoga permainannya tambah banyak dan semakin bagus lagi"
Hartono Lahut,"mesjdinya menghadap langsung ke alun"" jombang"
Moch Ulum,Bulan puasa pada banyak yang buka bersama di sini.
ratih widorukmi,"Tempat luas,ramai,banyak pedagang makanan,mainan utk anak2 lokasi dekat masjid agung Jombang"
Novian Mahyuzar,Bisa ngurangin kejenuhan saat menunggu jadwal kereta api. Karena stasiun KA nya berseberangan dengan alun²
Estehsolo Jombang,Jombang Fest 2024
Indri Hapsari,Lumayan bersih
AJIB TENAN,Keramaian dan kedamaian saat berkunjung ke tempat ini bersama keluarga berjamaah sholat isya' dan makan malam di alon-alon setelahnya...
Sigitt Wicaksono,Sangat bagus .. sayang nya tidak ada acara orkes lagi 😁😁 …
sandal Jepit1207,"Sudah nyaman skrg ,.,banyak pembenahan yg mengutamakan kenyamanan .,,.salut buat kota Jombang tercinta,.,"
Luthfie Syarifudin,"Sebagai tempat hiburan untuk masyarakat jombang
Lebih di awasi bagi pengunjung agar tidak membuang sampah sembarangan"
Ady Setia,Bagus
Mukhammad Fadlillah,adem .. nyaman buat jalan2 kluarga
yudi guevara,Bagus sekarang. Permainan anak anak bnyk
Tono Fatoni,"Sepii tapi seneng sii bisa main"" Sama temen kalo malem"
yusuf sutadji,Tempatnya bersih....nyaman...tp mesti ingat protokol kesehatan saat ini.
nova saputra,"Alun alun jombang bagus banyak mainan unt anak"" , di luar jg ada foto"" sm binatang burung dan iguana"
Erfin Nur Rosyida,"Nice place for selfie.

Sayangnya hanya pada salah satu sudut yang menarik di seberang stasiun jombang."
ANA KUSUMA,Tempatnya bersih..cocok untuk olaharaga jogging
DI- AH,Banyak menyediakan mainan anak2 dg harga 5-10 rb rupiah
Rika Agusina,"Tempat bersantai, menenangkan pikiran"
Ayu Wangi,Bersih dan luas
Fajar ganteng,Ya mulai bagus sudah bebas penjual asongan tapi tetep dipindah supaya asongan nya ada lapak buat jualan
wasian nafi,Tempatnya nyaman
Hanif Mutiarasti,"Seneng banget bisa main dan sholat di masjid agungnya..
Tempat parkirnya tertata"
M. BOEDHI P. ES (Boedhi),"Mudah dijangkau dari berbagai penjuru, rame, bersih, tempat bermain semua usia, tempat wisata kuliner"
Ranggaarsya dewangga,Sangat cocok buat masyarakat untuk melepas lelah bersama keluarga
Rheza Firmansyah,"Depan Stasiun KA Jombang persis, tidak terlalu luas dan belum ada penataan pedagang kaki lima nya."
Yonath Win,"Udah bagus, cuma pedagang mainannya mungkin bisa ditata lagi"
Ahmad Luqman,"Alun alun jombang mantap.

Untuk  melepaskan : penat & kejalau,an"
Yenida Yuliarti,Baguuusss bersihhhh bangeet.. Ramah anak pokok na maah
Mas Jum,Tiap hari ada takjil gratis 😁 …
Zainul Zainul,Tempat ini adalah tempat bersejarah banget tempat dimana saya pertama kali memberi cincin pada istriku( waktu msh pacaran)
Rizki Wahyu Laili,"Playground nya bagus, cocok untuk liburan keluarga. Tinggal dijaga kebersihannya."
Alimul Hikam,Jadwal tiap pagi depan pendopo kabupaten jombang ada senam ibu2. Khusus hari minggu di akun2 digelar senam massal
Toni Wijaya,"Pembenahan alun-alun dengan penambahan playground anak yg bagus, semoga diiringi dengan pemeliharaan yg bagus juga"
